number,date,platform,company_or_contact,vacancy_or_request,focus,message,link,status,screenshot_file,notes
1,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
2,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
3,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
4,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
5,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
6,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
7,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
8,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
9,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
10,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
11,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
12,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
13,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
14,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
15,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
16,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
17,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
18,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
19,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
20,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
21,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
22,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
23,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
24,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
25,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
26,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
27,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
28,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
29,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
30,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
31,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
32,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
33,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
34,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
35,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
36,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
37,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
38,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
39,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
40,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
41,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
42,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
43,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
44,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
45,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
46,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
47,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
48,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
49,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
50,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
51,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
52,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
53,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
54,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
55,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
56,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
57,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
58,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
59,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
60,,,,,B: deployment + reliability,"Здравствуйте! Могу развернуть ИИ-сервис: стабильная работа, секреты в переменных окружения, логирование, журнал запросов, сценарий эскалации при сбоях. Покажу демо и отдам инструкцию, чтобы решение поддерживалось. Можете описать текущий процесс обработки обращений и объёмы?",,planned,,
